room_number,floor,side,courtyard,active
308,3,PAIR,COUR MONTMORENCY,True
309,3,IMPAIR,COUR D'HONNEUR,True
310,3,PAIR,COUR MONTMORENCY,True
311,3,IMPAIR,COUR D'HONNEUR,True
312,3,PAIR,COUR MONTMORENCY,True
313,3,IMPAIR,COUR D'HONNEUR,True
314,3,PAIR,COUR MONTMORENCY,True
315,3,IMPAIR,COUR D'HONNEUR,True
316,3,PAIR,COUR MONTMORENCY,True
317,3,IMPAIR,COUR D'HONNEUR,True
318,3,PAIR,COUR MONTMORENCY,True
319,3,IMPAIR,COUR D'HONNEUR,True
320,3,PAIR,COUR MONTMORENCY,True
321,3,IMPAIR,COUR D'HONNEUR,True
322,3,PAIR,COUR MONTMORENCY,True
323,3,IMPAIR,COUR D'HONNEUR,True
324,3,PAIR,COUR MONTMORENCY,True
325,3,IMPAIR,COUR D'HONNEUR,True
326,3,PAIR,COUR MONTMORENCY,True
327,3,IMPAIR,COUR D'HONNEUR,True
328,3,PAIR,COUR MONTMORENCY,True
329,3,IMPAIR,COUR D'HONNEUR,True
330,3,PAIR,COUR MONTMORENCY,True
331,3,IMPAIR,COUR D'HONNEUR,True
332,3,PAIR,COUR MONTMORENCY,True
333,3,IMPAIR,COUR D'HONNEUR,True
334,3,PAIR,COUR MONTMORENCY,True
335,3,IMPAIR,COUR D'HONNEUR,True
336,3,PAIR,COUR MONTMORENCY,True
337,3,IMPAIR,COUR D'HONNEUR,True
338,3,PAIR,COUR MONTMORENCY,True
339,3,IMPAIR,COUR D'HONNEUR,True
340,3,PAIR,COUR MONTMORENCY,True
341,3,IMPAIR,COUR D'HONNEUR,True
342,3,PAIR,COUR MONTMORENCY,True
343,3,IMPAIR,COUR D'HONNEUR,True
344,3,PAIR,COUR MONTMORENCY,True
345,3,IMPAIR,COUR D'HONNEUR,True
346,3,PAIR,COUR MONTMORENCY,True
347,3,IMPAIR,COUR D'HONNEUR,True
348,3,PAIR,COUR MONTMORENCY,True
349,3,IMPAIR,COUR D'HONNEUR,True
350,3,PAIR,COUR MONTMORENCY,True
351,3,IMPAIR,COUR D'HONNEUR,True
352,3,PAIR,COUR MONTMORENCY,True
353,3,IMPAIR,COUR D'HONNEUR,True
354,3,PAIR,COUR MONTMORENCY,True
355,3,IMPAIR,COUR D'HONNEUR,True
356,3,PAIR,COUR MONTMORENCY,True
357,3,IMPAIR,COUR D'HONNEUR,True
358,3,PAIR,COUR MONTMORENCY,True
359,3,IMPAIR,COUR D'HONNEUR,True
360,3,PAIR,COUR MONTMORENCY,True
361,3,IMPAIR,COUR D'HONNEUR,True
362,3,PAIR,COUR MONTMORENCY,True
363,3,IMPAIR,COUR D'HONNEUR,True
364,3,PAIR,COUR MONTMORENCY,True
365,3,IMPAIR,COUR D'HONNEUR,True
366,3,PAIR,COUR MONTMORENCY,True
367,3,IMPAIR,COUR D'HONNEUR,True
368,3,PAIR,COUR MONTMORENCY,True
369,3,IMPAIR,COUR D'HONNEUR,True
370,3,PAIR,COUR MONTMORENCY,True
372,3,PAIR,COUR MONTMORENCY,True
373,3,IMPAIR,COUR D'HONNEUR,True
374,3,PAIR,COUR MONTMORENCY,True
375,3,IMPAIR,COUR D'HONNEUR,True
376,3,PAIR,COUR MONTMORENCY,True
377,3,IMPAIR,COUR D'HONNEUR,True
378,3,PAIR,COUR MONTMORENCY,True
379,3,IMPAIR,COUR D'HONNEUR,True
380,3,PAIR,COUR MONTMORENCY,True
381,3,IMPAIR,COUR D'HONNEUR,True
382,3,PAIR,COUR MONTMORENCY,True
383,3,IMPAIR,COUR D'HONNEUR,True
384,3,PAIR,COUR MONTMORENCY,True
385,3,IMPAIR,COUR D'HONNEUR,True
387,3,IMPAIR,COUR D'HONNEUR,True
388,3,PAIR,COUR MONTMORENCY,True
391,3,IMPAIR,COUR D'HONNEUR,True
403,4,IMPAIR,COUR D'HONNEUR,True
404,4,PAIR,COUR MONTMORENCY,True
405,4,IMPAIR,COUR D'HONNEUR,True
406,4,PAIR,COUR MONTMORENCY,True
407,4,IMPAIR,COUR D'HONNEUR,True
408,4,PAIR,COUR MONTMORENCY,True
409,4,IMPAIR,COUR D'HONNEUR,True
410,4,PAIR,COUR MONTMORENCY,True
411,4,IMPAIR,COUR D'HONNEUR,True
412,4,PAIR,COUR MONTMORENCY,True
413,4,IMPAIR,COUR D'HONNEUR,True
414,4,PAIR,COUR MONTMORENCY,True
415,4,IMPAIR,COUR D'HONNEUR,True
416,4,PAIR,COUR MONTMORENCY,True
417,4,IMPAIR,COUR D'HONNEUR,True
418,4,PAIR,COUR MONTMORENCY,True
419,4,IMPAIR,COUR D'HONNEUR,True
420,4,PAIR,COUR MONTMORENCY,True
421,4,IMPAIR,COUR D'HONNEUR,True
422,4,PAIR,COUR MONTMORENCY,True
423,4,IMPAIR,COUR D'HONNEUR,True
424,4,PAIR,COUR MONTMORENCY,True
425,4,IMPAIR,COUR D'HONNEUR,True
426,4,PAIR,COUR MONTMORENCY,True
427,4,IMPAIR,COUR D'HONNEUR,True
428,4,PAIR,COUR MONTMORENCY,True
429,4,IMPAIR,COUR D'HONNEUR,True
430,4,PAIR,COUR MONTMORENCY,True
431,4,IMPAIR,COUR D'HONNEUR,True
432,4,PAIR,COUR MONTMORENCY,True
433,4,IMPAIR,COUR D'HONNEUR,True
434,4,PAIR,COUR MONTMORENCY,True
435,4,IMPAIR,COUR D'HONNEUR,True
436,4,PAIR,COUR MONTMORENCY,True
437,4,IMPAIR,COUR D'HONNEUR,True
438,4,PAIR,COUR MONTMORENCY,True
439,4,IMPAIR,COUR D'HONNEUR,True
440,4,PAIR,COUR MONTMORENCY,True
441,4,IMPAIR,COUR D'HONNEUR,True
442,4,PAIR,COUR MONTMORENCY,True
443,4,IMPAIR,COUR D'HONNEUR,True
444,4,PAIR,COUR MONTMORENCY,True
445,4,IMPAIR,COUR D'HONNEUR,True
446,4,PAIR,COUR MONTMORENCY,True
447,4,IMPAIR,COUR D'HONNEUR,True
448,4,PAIR,COUR MONTMORENCY,True
449,4,IMPAIR,COUR D'HONNEUR,True
450,4,PAIR,COUR MONTMORENCY,True
451,4,IMPAIR,COUR D'HONNEUR,True
452,4,PAIR,COUR MONTMORENCY,True
453,4,IMPAIR,COUR D'HONNEUR,True
454,4,PAIR,COUR MONTMORENCY,True
455,4,IMPAIR,COUR D'HONNEUR,True
456,4,PAIR,COUR MONTMORENCY,True
457,4,IMPAIR,COUR D'HONNEUR,True
458,4,PAIR,COUR MONTMORENCY,True
459,4,IMPAIR,COUR D'HONNEUR,True
460,4,PAIR,COUR MONTMORENCY,True
461,4,IMPAIR,COUR D'HONNEUR,True
462,4,PAIR,COUR MONTMORENCY,True
463,4,IMPAIR,COUR D'HONNEUR,True
464,4,PAIR,COUR MONTMORENCY,True
465,4,IMPAIR,COUR D'HONNEUR,True
466,4,PAIR,COUR MONTMORENCY,True
467,4,IMPAIR,COUR D'HONNEUR,True
468,4,PAIR,COUR MONTMORENCY,True
469,4,IMPAIR,COUR D'HONNEUR,True
470,4,PAIR,COUR MONTMORENCY,True
471,4,IMPAIR,COUR D'HONNEUR,True
472,4,PAIR,COUR MONTMORENCY,True
473,4,IMPAIR,COUR D'HONNEUR,True
474,4,PAIR,COUR MONTMORENCY,True
475,4,IMPAIR,COUR D'HONNEUR,True
476,4,PAIR,COUR MONTMORENCY,True
477,4,IMPAIR,COUR D'HONNEUR,True
478,4,PAIR,COUR MONTMORENCY,True
479,4,IMPAIR,COUR D'HONNEUR,True
480,4,PAIR,COUR MONTMORENCY,True
481,4,IMPAIR,COUR D'HONNEUR,True
482,4,PAIR,COUR MONTMORENCY,True
483,4,IMPAIR,COUR D'HONNEUR,True
484,4,PAIR,COUR MONTMORENCY,True
485,4,IMPAIR,COUR D'HONNEUR,True
486,4,PAIR,COUR MONTMORENCY,True
487,4,IMPAIR,COUR D'HONNEUR,True
488,4,PAIR,COUR MONTMORENCY,True
491,4,IMPAIR,COUR D'HONNEUR,True
503,5,IMPAIR,COUR D'HONNEUR,True
504,5,PAIR,COUR MONTMORENCY,True
505,5,IMPAIR,COUR D'HONNEUR,True
506,5,PAIR,COUR MONTMORENCY,True
507,5,IMPAIR,COUR D'HONNEUR,True
508,5,PAIR,COUR MONTMORENCY,True
509,5,IMPAIR,COUR D'HONNEUR,True
510,5,PAIR,COUR MONTMORENCY,True
511,5,IMPAIR,COUR D'HONNEUR,True
512,5,PAIR,COUR MONTMORENCY,True
513,5,IMPAIR,COUR D'HONNEUR,True
514,5,PAIR,COUR MONTMORENCY,True
515,5,IMPAIR,COUR D'HONNEUR,True
516,5,PAIR,COUR MONTMORENCY,True
517,5,IMPAIR,COUR D'HONNEUR,True
518,5,PAIR,COUR MONTMORENCY,True
519,5,IMPAIR,COUR D'HONNEUR,True
520,5,PAIR,COUR MONTMORENCY,True
521,5,IMPAIR,COUR D'HONNEUR,True
522,5,PAIR,COUR MONTMORENCY,True
523,5,IMPAIR,COUR D'HONNEUR,True
524,5,PAIR,COUR MONTMORENCY,True
525,5,IMPAIR,COUR D'HONNEUR,True
526,5,PAIR,COUR MONTMORENCY,True
527,5,IMPAIR,COUR D'HONNEUR,True
528,5,PAIR,COUR MONTMORENCY,True
529,5,IMPAIR,COUR D'HONNEUR,True
530,5,PAIR,COUR MONTMORENCY,True
531,5,IMPAIR,COUR D'HONNEUR,True
532,5,PAIR,COUR MONTMORENCY,True
533,5,IMPAIR,COUR D'HONNEUR,True
534,5,PAIR,COUR MONTMORENCY,True
535,5,IMPAIR,COUR D'HONNEUR,True
536,5,PAIR,COUR MONTMORENCY,True
537,5,IMPAIR,COUR D'HONNEUR,True
538,5,PAIR,COUR MONTMORENCY,True
539,5,IMPAIR,COUR D'HONNEUR,True
540,5,PAIR,COUR MONTMORENCY,True
541,5,IMPAIR,COUR D'HONNEUR,True
542,5,PAIR,COUR MONTMORENCY,True
543,5,IMPAIR,COUR D'HONNEUR,True
544,5,PAIR,COUR MONTMORENCY,True
545,5,IMPAIR,COUR D'HONNEUR,True
546,5,PAIR,COUR MONTMORENCY,True
547,5,IMPAIR,COUR D'HONNEUR,True
548,5,PAIR,COUR MONTMORENCY,True
549,5,IMPAIR,COUR D'HONNEUR,True
550,5,PAIR,COUR MONTMORENCY,True
551,5,IMPAIR,COUR D'HONNEUR,True
552,5,PAIR,COUR MONTMORENCY,True
553,5,IMPAIR,COUR D'HONNEUR,True
554,5,PAIR,COUR MONTMORENCY,True
555,5,IMPAIR,COUR D'HONNEUR,True
556,5,PAIR,COUR MONTMORENCY,True
557,5,IMPAIR,COUR D'HONNEUR,True
558,5,PAIR,COUR MONTMORENCY,True
559,5,IMPAIR,COUR D'HONNEUR,True
560,5,PAIR,COUR MONTMORENCY,True
561,5,IMPAIR,COUR D'HONNEUR,True
562,5,PAIR,COUR MONTMORENCY,True
563,5,IMPAIR,COUR D'HONNEUR,True
564,5,PAIR,COUR MONTMORENCY,True
565,5,IMPAIR,COUR D'HONNEUR,True
566,5,PAIR,COUR MONTMORENCY,True
567,5,IMPAIR,COUR D'HONNEUR,True
568,5,PAIR,COUR MONTMORENCY,True
569,5,IMPAIR,COUR D'HONNEUR,True
570,5,PAIR,COUR MONTMORENCY,True
571,5,IMPAIR,COUR D'HONNEUR,True
572,5,PAIR,COUR MONTMORENCY,True
573,5,IMPAIR,COUR D'HONNEUR,True
574,5,PAIR,COUR MONTMORENCY,True
575,5,IMPAIR,COUR D'HONNEUR,True
576,5,PAIR,COUR MONTMORENCY,True
577,5,IMPAIR,COUR D'HONNEUR,True
578,5,PAIR,COUR MONTMORENCY,True
579,5,IMPAIR,COUR D'HONNEUR,True
580,5,PAIR,COUR MONTMORENCY,True
581,5,IMPAIR,COUR D'HONNEUR,True
582,5,PAIR,COUR MONTMORENCY,True
583,5,IMPAIR,COUR D'HONNEUR,True
584,5,PAIR,COUR MONTMORENCY,True
585,5,IMPAIR,COUR D'HONNEUR,True
586,5,PAIR,COUR MONTMORENCY,True
587,5,IMPAIR,COUR D'HONNEUR,True
588,5,PAIR,COUR MONTMORENCY,True
590,5,PAIR,COUR MONTMORENCY,True
C.20,2,PAIR,COUR MONTMORENCY,True
C.21,2,IMPAIR,COUR D'HONNEUR,True
C.22,2,PAIR,COUR MONTMORENCY,True
F.21,2,IMPAIR,COUR D'HONNEUR,True
F.20,2,PAIR,COUR MONTMORENCY,True
F.22,2,PAIR,COUR MONTMORENCY,True
F.23,2,IMPAIR,COUR D'HONNEUR,True
F.24,2,PAIR,COUR MONTMORENCY,True
F.25,2,IMPAIR,COUR D'HONNEUR,True
F.30,3,PAIR,COUR MONTMORENCY,True
F.31,3,IMPAIR,COUR D'HONNEUR,True
F.32,3,PAIR,COUR MONTMORENCY,True
F.33,3,IMPAIR,COUR D'HONNEUR,True
F.34,3,PAIR,COUR MONTMORENCY,True
F.35,3,IMPAIR,COUR D'HONNEUR,True
F.40,4,PAIR,COUR MONTMORENCY,True
F.41,4,IMPAIR,COUR D'HONNEUR,True
F.42,4,PAIR,COUR MONTMORENCY,True
F.43,4,IMPAIR,COUR D'HONNEUR,True
F.45,4,IMPAIR,COUR D'HONNEUR,True
F.51,5,IMPAIR,COUR D'HONNEUR,True
F.52,5,PAIR,COUR MONTMORENCY,True
F.53,5,IMPAIR,COUR D'HONNEUR,True
F.55,5,IMPAIR,COUR D'HONNEUR,True
F54,5,PAIR,COUR MONTMORENCY,True
R15,1,IMPAIR,COUR D'HONNEUR,True
R20B,2,PAIR,COUR MONTMORENCY,True
R10A,1,PAIR,COUR MONTMORENCY,True
R10B,1,PAIR,COUR MONTMORENCY,True
R11A,1,IMPAIR,COUR D'HONNEUR,True
R11B,1,IMPAIR,COUR D'HONNEUR,True
R12A,1,PAIR,COUR MONTMORENCY,True
R12B,1,PAIR,COUR MONTMORENCY,True
R20A,2,PAIR,COUR MONTMORENCY,True
R21B,2,IMPAIR,COUR D'HONNEUR,True
R22A,2,PAIR,COUR MONTMORENCY,True
R22.B,2,PAIR,COUR MONTMORENCY,True
R30.A,3,PAIR,COUR MONTMORENCY,True
RC1,,,,True
RC3B,,,,True
RC3C,,,,True
RC4A,,,,True
RC4B,,,,True
RC2A,,,,True
RC2B,,,,True
RC3A,,,,True
S.10,1,PAIR,COUR MONTMORENCY,True
S.21,2,IMPAIR,COUR D'HONNEUR,True
S.22,2,PAIR,COUR MONTMORENCY,True
S.41,4,IMPAIR,COUR D'HONNEUR,True
S.43,4,IMPAIR,COUR D'HONNEUR,True
S.53,5,IMPAIR,COUR D'HONNEUR,True
S.11,1,IMPAIR,COUR D'HONNEUR,True
S.12,1,PAIR,COUR MONTMORENCY,True
S.13,1,IMPAIR,COUR D'HONNEUR,True
S.20,2,PAIR,COUR MONTMORENCY,True
S.23,2,IMPAIR,COUR D'HONNEUR,True
S.30,3,PAIR,COUR MONTMORENCY,True
S.31,3,IMPAIR,COUR D'HONNEUR,True
S.32,3,PAIR,COUR MONTMORENCY,True
S.33,3,IMPAIR,COUR D'HONNEUR,True
S.40,4,PAIR,COUR MONTMORENCY,True
S.42,4,PAIR,COUR MONTMORENCY,True
S.51,5,IMPAIR,COUR D'HONNEUR,True
303,3,IMPAIR,,
